"id_kre";"nazev"
1;"černoocasí"
2;"červenoocasí"
3;"hnědoocasí"
4;"stříbrnoocasí"
5;"žlutoocasí"
6;"bělohrotí"
7;"bělohrotí černopruzí"
8;"bělohrotí kapratí"
9;"bělohrotí pruhoví"
10;"bělohrotí tmavopruzí"
11;"běloocasí"
12;"běloocasí bělopruzí"
13;"běloocasí bezpruzí"
14;"běloocasí bronzovopruzí"
15;"běloocasí černopruzí"
16;"běloocasí červenopruzí"
17;"běloocasí hnědě kapratí"
18;"běloocasí kapratí"
19;"běloocasí modře kapratí"
20;"běloocasí šupinatí"
21;"běloocasí žlutopruzí"
22;"běloprsí vlaštováci"
23;"bělopruzí"
24;"běloštítní"
25;"bělošupkatí"
26;"bezpruzí"
27;"bronzoví"
28;"bronzovopruzí"
29;"čapíci"
30;"čápkové"
31;"čápkové bělopruzí"
32;"čápkové černopruzí"
33;"černohrotí"
34;"černopruzí"
35;"červenopruzí"
36;"bělouši černopruzí"
37;"hermelínoví"
38;"hnědě kapratí"
39;"bělohrotí"
40;"jednobarevní"
41;"kapratí"
42;"kapratí bělopruzí"
43;"kapratí černopruzí"
44;"lysí"
45;"lysí bělopruzí"
46;"lysí červenopruzí"
47;"lysí kapratí"
48;"mniši"
49;"mniši černopruzí"
50;"mniši kapratí"
51;"mniši tmavopruzí"
52;"modře kapratí"
53;"mramorovaní"
54;"mramorovaní běloprsí vlaštováci"
55;"pigři"
56;"plamínci"
57;"plaví"
58;"plnobarevní"
59;"pštrosíci"
60;"pštrosíci běloocasí"
61;"pštrosíci bělopruzí"
62;"pštrosíci černopruzí"
63;"pštrosíci červenopruzí"
64;"pštrosíci kapratí"
65;"pštrosíci mramorovaní"
66;"pštrosíci šupinatí"
67;"pštrosíci šupkatí"
68;"pštrosíci žlutopruzí"
69;"s anglickou kresbou"
70;"sedlatí"
71;"sedlatí kapratí"
72;"s anglickou kresbou"
73;"šedohnědopruzí"
74;"straky"
75;"stříkaní"
76;"šupinatí"
77;"šupinatí štítníci"
78;"šupkatí"
79;"černě kapratí"
80;"tmavohrotí kapratí"
81;"tmavohrotí pruhoví"
82;"tmavopruzí"
83;"bělouši červenopruzí"
84;"tygři"
85;"bělouši žlutopruzí"
86;"žlutopruzí"
87;"lysí černopruzí"
88;"modroocasí"
89;"bělouši"
90;"žlutopruzí s anglickou kresbou"
91;"červenopruzí s anglickou kresbou"
92;"pruhoví"
93;"běloocasí pruhoví"
94;"tygříci"
95;"šupinatí sedlatí"
96;"hnědopruzí mramorovaní"
97;"lysí bezpruzí"
98;"mniši bezpruzí"
