"id_raz";"bar";"kre"
1;6;58
2;8;58
3;10;58
4;31;58
5;27;58
6;9;58
7;30;58
8;13;58
9;17;58
10;21;34
11;21;41
12;27;41
13;10;41
14;31;41
15;14;41
16;6;44
17;8;44
18;10;44
19;31;44
20;27;44
21;9;44
22;30;44
23;13;44
24;17;44
25;21;87
26;21;47
27;27;47
28;10;47
29;31;47
30;14;47
31;6;6
32;8;6
33;10;6
34;31;6
35;27;6
36;9;6
37;30;6
38;13;6
39;17;6
40;21;7
41;21;8
42;27;8
43;10;8
44;31;8
45;14;8
46;8;23
47;21;23
48;10;23
49;31;23
50;17;23
51;8;45
52;10;45
53;31;45
54;21;45
55;8;56
56;10;56
57;31;56
58;21;56
59;28;56
60;14;56
61;6;1
62;6;2
63;6;3
64;6;4
65;6;5
66;6;88
67;21;70
68;8;70
69;10;70
70;31;70
71;28;70
72;21;71
73;21;89
74;9;89
75;30;89
76;8;84
77;21;84
78;10;84
79;31;84
80;8;24
81;21;24
82;10;24
83;31;24
84;21;77
85;10;77
86;8;77
87;31;77
88;6;35
89;6;86
90;6;40
91;8;40
92;21;40
93;10;40
94;31;40
95;27;40
96;26;40
97;6;84
98;27;84
99;26;84
100;28;40
101;14;40
102;16;40
103;1;40
104;9;41
105;30;41
106;27;82
107;32;35
108;28;23
109;12;23
110;27;23
111;32;86
112;21;6
113;32;6
114;27;70
115;8;59
116;21;59
117;10;59
118;31;59
119;21;62
120;21;64
121;32;63
122;32;68
123;8;61
124;21;61
125;10;61
126;31;61
127;8;66
128;21;66
129;10;66
130;31;66
131;8;29
132;21;29
133;10;29
134;31;29
135;8;69
136;21;69
137;10;69
138;31;69
139;14;69
140;32;91
141;32;90
142;10;89
143;31;89
144;27;76
145;24;40
146;15;40
147;8;30
148;14;30
149;21;30
150;10;30
151;31;30
152;21;32
153;8;31
154;10;31
155;21;31
156;31;31
157;14;31
158;8;76
159;14;76
160;24;76
161;21;76
162;10;76
163;31;76
164;14;23
165;24;23
166;27;73
167;27;92
168;8;78
169;10;78
170;21;78
171;31;78
172;27;78
173;8;27
174;8;53
175;21;58
176;14;58
177;27;39
178;8;74
179;14;74
180;21;74
181;10;74
182;31;74
183;29;23
184;29;25
185;30;40
186;9;40
187;13;40
188;13;41
189;6;89
190;6;34
191;21;28
192;6;33
193;27;26
194;21;53
195;25;80
196;25;81
197;25;8
198;25;9
199;21;26
200;8;26
201;10;26
202;31;26
203;32;26
204;21;79
205;8;75
206;21;75
207;10;75
208;31;75
209;23;53
210;32;39
211;27;38
212;8;13
213;21;13
214;10;13
215;31;13
216;27;13
217;8;12
218;21;12
219;10;12
220;31;12
221;27;12
222;8;20
223;21;20
224;10;20
225;31;20
226;27;20
227;21;15
228;21;14
229;21;18
230;27;18
231;9;18
232;30;18
233;2;41
234;2;92
235;2;84
236;2;74
237;2;6
238;13;92
239;9;92
240;30;92
241;13;26
242;9;26
243;30;26
244;14;13
245;13;18
246;9;93
247;30;93
248;13;93
249;9;13
250;30;13
251;13;13
252;18;40
253;24;6
254;18;6
255;21;39
256;32;36
257;32;83
258;32;85
259;18;70
260;24;70
261;21;95
262;30;70
263;9;70
264;8;94
265;18;94
266;24;94
267;10;94
268;31;94
269;8;22
270;24;22
271;21;22
272;21;54
273;10;22
274;31;22
275;32;89
276;11;70
277;18;53
278;24;53
279;10;53
280;31;53
281;27;96
282;8;89
283;18;89
284;24;89
285;18;84
286;18;59
287;24;59
288;27;59
289;21;65
290;21;60
291;8;60
292;18;60
293;24;60
294;10;60
295;31;60
296;27;60
297;3;92
298;3;23
299;4;92
300;4;23
301;5;40
302;21;97
303;9;47
304;30;47
305;8;48
306;10;48
307;31;48
308;9;48
309;30;48
310;21;98
311;21;49
312;27;98
313;27;51
314;21;50
315;27;50
316;9;50
317;30;50
318;27;10
319;9;8
320;30;8
