"ple";"raz"
9;1
9;2
9;3
9;4
9;5
9;6
9;7
9;8
9;9
9;10
9;11
9;12
9;13
9;14
9;15
9;16
9;17
9;18
9;19
9;20
9;21
9;22
9;23
9;24
9;25
9;26
9;27
9;28
9;29
9;30
9;31
9;32
9;33
9;34
9;35
9;36
9;37
9;38
9;39
9;40
9;41
9;42
9;43
9;44
9;45
9;46
9;47
9;48
9;49
9;50
9;51
9;52
9;53
9;54
9;55
9;56
9;57
9;58
9;59
9;60
9;61
9;62
9;63
9;64
9;65
9;66
9;67
9;68
9;69
9;70
9;71
9;72
9;73
9;74
9;75
9;76
9;77
9;78
9;79
9;80
9;81
9;82
9;83
9;84
9;85
9;86
9;87
9;88
9;89
1;90
1;91
1;92
1;93
1;94
1;95
1;96
1;97
1;98
1;99
1;76
1;77
1;78
1;79
2;90
2;91
2;92
2;93
2;94
2;100
2;101
2;102
2;103
2;11
2;104
2;105
2;10
2;106
2;107
2;46
2;47
2;48
2;49
2;50
2;108
2;109
2;110
2;111
2;112
2;113
2;32
2;33
2;34
2;114
2;67
2;68
2;69
2;70
2;115
2;116
2;117
2;118
2;119
2;120
2;121
2;122
2;123
2;124
2;125
2;126
2;127
2;128
2;129
2;130
2;131
2;132
2;133
2;134
2;135
2;136
2;137
2;138
2;139
2;140
2;141
2;76
2;77
2;78
2;79
2;73
2;142
2;143
3;90
3;91
3;92
3;93
3;94
3;101
3;145
3;146
3;10
3;11
3;147
3;148
3;149
3;150
3;151
3;152
3;153
3;154
3;155
3;156
3;157
3;158
3;159
3;160
3;161
3;162
3;163
3;164
3;165
3;46
3;47
3;48
3;49
4;10
4;166
4;11
4;12
4;47
4;110
4;46
4;48
4;49
4;168
4;169
4;170
4;171
4;172
5;11
5;12
5;10
5;166
5;32
5;33
5;34
5;35
5;112
5;168
5;169
5;170
5;171
5;172
5;173
5;174
6;1
6;2
6;3
6;4
6;5
6;6
6;7
6;175
6;176
6;11
6;104
6;105
6;12
6;10
6;177
6;107
6;111
6;46
6;47
6;48
6;49
6;168
6;169
6;170
6;171
6;172
6;76
6;77
6;78
6;79
6;178
6;179
6;180
6;181
6;182
6;80
6;81
6;82
6;83
7;91
7;92
7;93
7;94
7;95
7;101
7;183
7;184
7;185
7;186
7;187
7;10
7;11
7;12
7;104
7;105
7;188
8;10
8;11
8;95
8;185
8;186
8;189
8;190
8;89
8;192
8;88
8;194
10;195
10;196
10;197
10;198
11;199
11;200
11;201
11;202
11;203
11;204
11;104
11;105
11;12
11;10
11;106
11;88
11;89
11;167
11;46
11;47
11;48
11;49
11;158
11;161
11;162
11;163
12;90
12;91
12;93
12;94
12;11
12;104
12;105
12;10
12;107
12;111
12;205
12;206
12;207
12;208
12;178
12;180
12;181
12;182
12;76
12;77
12;78
12;79
13;91
13;92
13;93
13;94
13;95
13;104
13;105
13;11
13;12
13;10
13;106
13;107
13;111
13;110
13;46
13;47
13;48
13;49
13;76
13;78
13;79
14;209
15;199
15;200
15;201
15;202
15;193
15;46
15;47
15;48
15;110
15;158
15;161
15;162
15;163
15;144
15;10
15;167
15;191
15;204
15;211
15;104
15;105
15;212
15;213
15;214
15;215
15;216
15;217
15;218
15;219
15;220
15;221
15;222
15;223
15;224
15;225
15;226
15;227
15;228
15;229
15;230
15;231
15;232
16;67
16;68
16;69
16;70
16;71
17;233
17;234
17;235
17;236
17;237
18;2
18;3
18;4
18;176
18;199
18;10
18;11
18;170
18;188
18;104
18;105
18;238
18;239
18;240
18;241
18;242
18;243
18;46
18;47
18;48
18;49
18;164
18;212
18;213
18;214
18;215
18;244
18;218
18;231
18;232
18;245
18;246
18;247
18;248
18;249
18;250
18;251
19;90
19;91
19;92
19;93
19;94
19;145
19;252
19;32
19;33
19;34
19;112
19;253
19;254
19;46
19;47
19;48
19;49
19;50
19;110
19;165
19;10
19;177
19;255
19;111
19;107
19;256
19;257
19;258
19;67
19;68
19;69
19;70
19;71
19;259
19;260
19;261
19;262
19;263
19;264
19;265
19;266
19;267
19;268
19;269
19;270
19;271
19;272
19;273
19;274
19;275
20;90
20;91
20;92
20;93
20;94
20;145
20;252
20;32
20;33
20;34
20;112
20;253
20;254
20;46
20;47
20;48
20;49
20;50
20;110
20;165
20;10
20;177
20;255
20;111
20;107
20;256
20;257
20;258
20;67
20;68
20;69
20;70
20;71
20;259
20;260
20;261
20;262
20;263
20;264
20;265
20;266
20;267
20;268
20;269
20;270
20;271
20;272
20;273
20;274
20;275
21;90
21;91
21;92
21;93
21;94
21;95
21;145
21;252
21;55
21;56
21;57
21;58
21;59
21;60
21;253
21;254
21;112
21;32
21;33
21;34
21;35
21;10
21;177
21;239
21;240
21;276
21;67
21;68
21;69
21;70
21;71
21;72
21;259
21;260
21;11
21;12
21;13
21;14
21;174
21;194
21;277
21;278
21;279
21;280
21;281
21;73
21;142
21;143
21;282
21;283
21;284
21;76
21;77
21;78
21;79
21;98
21;285
21;115
21;116
21;117
21;118
21;286
21;287
21;288
21;127
21;128
21;129
21;130
21;119
21;120
21;289
21;290
21;291
21;292
21;293
21;294
21;295
21;296
22;91
22;92
22;93
22;94
23;142
23;143
23;73
23;90
23;91
23;93
23;94
23;10
23;199
23;106
23;193
23;185
23;186
23;297
23;298
23;299
23;300
23;301
23;11
23;12
23;104
23;105
23;88
23;89
23;178
23;180
23;181
23;182
23;17
23;18
23;19
23;53
23;302
23;21
23;22
23;27
23;303
23;304
23;46
23;47
23;48
23;49
23;305
23;306
23;307
23;308
23;309
23;310
23;311
23;312
23;313
23;314
23;315
23;316
23;317
23;32
23;33
23;34
23;40
23;112
23;35
23;36
23;37
23;41
23;42
23;318
23;319
23;320
